rank,name,floor,_24h_vol,total_vol,owners,items
153,JOYWORLD JOYtoys,0.49,0.0,0,"1,515",3.422
154,AO Art Ball,0.13,0.0,12,"3,696",6.776
155,Oz Lifetime Pass,7.9,0.0,0,63,175
156,Art Blocks,10,0.0,876,"2,929",10.746
157,n,0.02,0.0,17.820,"1,864",8.888
158,LandVoucher,0.351,0.0,25,995,1.836
159,Copa America 2021: Goleador,-,0.0,0,1,1
160,KPR,0.0014,0.0,476,"3,348",10.000
161,Something Token,0.1,0.0,367,"3,929",10.000
162,Bone Ducks,-,0.0,0,"3,613",6.555
163,Angry Pitbull Club,0.048,0.0,8,"4,799",10.000
164,BYOLand,0.1234,0.0,134,"2,637",10.056
165,apileofbones,0.01,0.0,1,"1,010",6.666
166,Pudgy Rods,0.5765,0.0,44,"3,004",7.398
167,Floki Inu - Ruby,-,0.0,1,376,455
168,BladeRunner Punks,0.0009,0.0,0,"3,971",10.000
169,Heavy Metal: Taarna,-,0.0,0,1,1
170,CryptoJankyz,0.085,0.0,79,"5,742",13.684
171,The Sandbox,-,0.0,0,"2,702",96
172,FewoWorld Paint,0.599,0.0,74,"2,690",7.303
173,Sushiverse,0.02,0.0,0,"3,825",9.999
174,Skater Birds,0.089,0.0,0,"1,381",2.507
175,BestFriend,0.0097,0.0,0,"1,955",6.500
176,BlankFace,0.01,0.0,5,"5,297",9.999
177,the sunnies collection,0.0408,0.0,11,"4,754",9.141
178,BYOVAPE,0.08,0.0,27,"2,533",1
179,Dan Marino: Common,-,0.0,0,73,83
180,Shields,0.147,0.0,22,"1,413",5.000
181,Holy Heroes,-,0.0,1,"1,864",3.333
182,Spicy Pumpkins,0.012,0.0,0,"1,820",4.443
183,Cryptorastas,0.05,0.0,3,"3,740",10.421
184,JustCubes,0.1,0.0,32,"3,241",4.444
185,BYOKEY,-,0.0,9,167,2
186,Satoshi Runners,0.039,0.0,5,"1,213",7.777
187,Undead Pastel Club,0.19,0.0,14,"6,044",9.999
188,Fungible Fungi Mint Pass,-,0.0,2,208,10.000
189,#LetsWalk,2.1,0.0,24,956,100
190,Pixlton - The Awkward NFT Town,0.09,0.0,3,"1,609",5.469
191,Sougen Genesis Collection,0.0291,0.0,3,"1,634",8.888
192,3gmAIBanners,0.035,0.0,0,"1,697",4.912
193,MoongirlsEmanueleFerrari,0.12,0.0,0,910,3.333
194,The WonderQuest,0.02,0.0,778,"2,795",10.000
