rank,name,floor,_24h_vol,total_vol,owners,items
288,Loot (for Cyberpunks),-,0.0,0,"1,208",3.010
289,PrimeEternalChampion,0.5999,0.0,11,"2,106",7.622
290,Lofi Kitties,0.003,0.0,0,"2,798",9.999
291,BossLogic: Base Shadowless,-,0.0,0,346,500
292,Moonrunners Official,0.2,0.0,267,"3,307",10.000
293,TheBirdHouse,0.05,0.0,0,"2,156",6.000
294,Meka Rhinos,0.011,0.0,7,"1,007",3.333
295,HYPEBEARS,0.0296,0.0,258,"3,404",10.000
296,LuckyManekiNFT,0.03,0.0,0,"3,098",14.158
297,BlockchainBikers,0.01,0.0,0,"4,712",11.111
298,Pop Art Cats by Matt Chessco,0.045,0.0,39,"4,305",10.000
299,Goofy Oversized Optics People,0.016,0.0,2,"2,262",10.000
300,Glue Factory Show,0.174,0.0,2,"3,447",10.000
301,knightstown.wtf,-,0.0,1,"3,445",6.969
302,Anonymice Babies,0.25,0.0,10,"1,751",3.539
303,PUNKS 2: BIZ Collector's Edition,-,0.0,3,716,750
304,TWELVE ANONYMOUS TOURNAMENTS,0.014,0.0,3,"1,895",5.555
305,Mojimon,0.01,0.0,0,"2,135",10.000
306,PXN: Ghost Division,0.29,0.0,3.858,"5,192",10.000
307,Roaring Leaders,0.025,0.0,0,"1,546",9.999
308,Cosmic Cuties,-,0.0,0,207,333
309,Streetlab Genesis,0.088,0.0,21,936,4.444
310,KaijuKingz,-,0.0,1,182,1.815
311,ZombieToadz,-,0.0,0,"1,660",5.555
312,Maxwells,-,0.0,0,239,512
313,Choadz,0.02,0.0,0,"2,224",4.917
314,SELF GROWTH// by Fvckrender,-,0.0,0,18,26
315,Smilesss,0.1249,0.0,426,"4,298",8.807
316,Moonbirds Oddities,1.333,0.0,1.423,"5,853",10.000
317,PILLAGERS,0.005,0.0,0,"1,430",4.465
318,CryptoToysClub,-,0.0,0,335,2.209
319,Relics of a mortal past by Billelis,-,0.0,0,15,61
320,Synthetic Dreams,4.8,0.0,13,546,1.000
321,GenerativeDungeon,0.278,0.0,39,720,3.000
322,547xFRENs,-,0.0,0,24,59
323,Gutter Mint Passes,1.25,0.0,1,68,6.000
324,MAX PAIN AND FRENS RANKED AUCTIONS BY XCOPY,21,0.0,0,31,42
325,Vogu,0.07,0.0,42,"2,761",7.777
326,Property's NFT,0.02,0.0,4,"2,055",6.000
327,The KittyButts,0.005,0.0,0,"2,800",9.999
328,Animetas,0.0857,0.0,57,"3,899",10.101
329,Surrogates,1,0.0,0,98,154
330,SkuxxVerse Pass,0.0148,0.0,69,"2,511",7.777
331,Crypto Chicks,0.16,0.0,470,"4,395",10.000
332,8SIAN MAIN COLLECTION,0.045,0.0,30,"4,350",8.888
333,Spirit Gates,0.2657,0.0,3,"1,076",3.623
334,DEGEN TOONZ,0.7,0.0,559,"3,830",8.888
335,CREYZIES,0.1,0.0,335,"4,881",9.966
336,Trippy Toadz,0.222,0.0,14,"2,834",6.969
337,Dead Army Skeleton Klub,0.12,0.0,4,"1,695",6.969
338,Wilder Beasts: Wolf,1.425,0.0,53,"1,329",3.333
339,MetaDoge,-,0.0,0,"1,234",2.364
340,CryptoMories,0.24,0.0,636,"5,089",10.000
341,Half-Skull Of WZRD,-,0.0,0,298,1
342,Cool Cats,2.398,0.0,5.927,"5,562",9.960
343,RELI3F UKR,-,0.0,0,"4,042",37
344,FLUF World: Thingies,0.5,0.0,91,"2,976",9.581
345,Tasty Bones,0.0756,0.0,128,"3,193",5.049
346,GPS Satellite Constellation,-,0.0,0,116,131
347,Treeverse,0.91,0.0,530,"3,392",10.420
348,Doomsday Garden,0.1,0.0,1,566,3.493
349,Plug Pass,-,0.0,11,794,1
350,Ey3k0n,0.06,0.0,18,"2,021",10.000
351,Outkast,0.0189,0.0,3,"2,626",10.000
352,Ethernity Metaverse: Wearable Black Sneakers,-,0.0,0,35,50
353,Rebels In Disguise : Generative Collection,-,0.0,0,336,702
354,GEN.ART Membership,0.13,0.0,12,"2,382",5.100
355,Cryptoadz by GREMPLIN,1.4388,0.0,1.429,"4,083",7.025
356,Polymorphs,0.22,0.0,24,"1,835",10.000
357,MINDDS,-,0.0,0,374,290
358,Sneaky's Internet Friends,0.1979,0.0,29,785,2.000
359,Wassies by Wassies,0.7,0.0,202,"2,445",12.344
360,Mafriends x Wizards Portals,-,0.0,1,36,52
361,Frenetik Void Open Edition,-,0.0,0,35,102
362,Chubbies,0.1,0.0,5,"3,277",9.997
363,Cyber Gorillas,0.089,0.0,6,502,3.333
364,Its Not What It Looks Like,-,0.0,0,"1,137",3.000
365,dcl://dappcraft_moonminer,-,0.0,0,125,354
366,CopeBears,0.07,0.0,3,"1,887",8.000
367,Deep Space,0.01,0.0,0,832,3.806
368,Twin Tigers Jacket,0.149,0.0,19,"5,115",2
369,Koripo by Rich Poole,0.4977,0.0,6,538,999
370,Superlative Apes,0.0277,0.0,20,"2,221",4.444
371,MoonCatLootprint,0.45,0.0,1,"2,264",11.715
372,Bored Ape Comic,0.06,0.0,0,"2,691",9.998
373,Whales Game,-,0.0,0,"3,683",31.983
374,Relics Pass,-,0.0,32,737,1.000
375,PEGZ,45.9184,0.0,14,57,103
376,Lamb Duhs,0.01,0.0,1,"2,662",8.500
377,Cats,0.009,0.0,0,497,10.000
378,AlibabaAndFortyThieves,-,0.0,0,299,2.000
379,Bruce Lee: The Dragon,-,0.0,0,1,1
380,truePengu,-,0.0,0,"4,413",3
381,GAMEBROS,-,0.0,0,85,222
382,3LAND INVENTORY,1,0.0,18,"6,601",12
383,Miningverse,-,0.0,0,239,1.249
384,FrankenPunks,0.068,0.0,21,"4,810",10.000
385,The Squids,-,0.0,1,"1,016",2.000
386,Galz,-,0.0,0,686,3.256
387,TinyPaws,-,0.0,0,"2,399",6.111
388,Genzee,0.1,0.0,11,"2,448",9.991
389,dcl://stay_safe,-,0.0,0,190,631
390,Bobu Token (Azuki #40),0.089,0.0,43,"11,532",1
391,Eggscelland Official,0.01,0.0,0,"1,346",3.333
392,Mutant Garden Seeder,69.69,0.0,4,280,512
393,The Carton,1.45,0.0,17,339,500
394,Loopy Donuts,0.009,0.0,0,"3,934",10.000
395,IDZ,0.48,0.0,0,609,4
396,DISRUPTOR by XCOPY,-,0.0,0,13,20
397,Ape Gang,0.089,0.0,11,"2,472",8.297
398,[UNFORGED] RTFKT x NIKE AR HOODIE  🕊✔️,-,0.0,14,325,1
399,pplpleasr,-,0.0,0,248,276
400,KILLAz,0.0129,0.0,1,"3,912",9.971
401,Nobody .,-,0.0,1,"1,211",3.210
402,Sneaky Vampire Syndicate,0.146,0.0,196,"2,719",8.888
403,Web4Ded,0.01,0.0,0,"2,105",6.666
404,Monaco Planet,0.02,0.0,2,"4,667",9.999
405,Waifus,0.1,0.0,1,"2,212",16.384
406,Argentina: Mystery Box,-,0.0,0,1,1
407,8bitguyz,0.0001,0.0,0,"7,147",10.000
408,Nickelodeon,0.08,0.0,8,"2,168",6.483
409,Ciphersquares,0.5,0.0,0,"1,191",3.623
410,POAP,0.0075,0.0,3,"22,180",35.755
411,Bored Ape Chemistry Club,26,0.0,7.027,291,3
412,The Crypto Bear Watch Club,0.254,0.0,0,319,3.010
413,MultiPass,-,0.0,0,"1,390",3.970
414,froyo kittens,0.0673,0.0,65,"3,138",10.000
415,Valhalla,-,0.0,0,"3,316",9.000
416,Gradis,0.1846,0.0,3,"1,111",4.192
417,pale blue death (a color study),0.85,0.0,0,653,15
418,James Dean: 3D Icon Metal Bust,-,0.0,0,7,7
419,Moonbirds,8.2745,0.0,24.080,"6,548",10.000
420,Frontier Game,0.012,0.0,7.454,"6,366",57
421,Dan Marino: Epic,-,0.0,0,264,302
422,888 Inner Circle - Blue Realm,0.03,0.0,4,"2,914",9.437
423,It's nothing,0.008,0.0,12,"3,295",8.888
424,CanineCartel,0.009,0.0,0,"4,353",9.999
425,Space Monkeys NFT,0.0201,0.0,0,"2,521",7.000
426,Monkerunners Official,0.01,0.0,0,"2,269",6.796
427,Phrocks,-,0.0,0,19,100
428,Shapeshifter by JAKE,-,0.0,0,220,8
429,NetvrkLand,0.4082,0.0,38,"2,729",10.393
430,FAKE NEWS by COLDIE,-,0.0,42,25,55
431,Cat Bricks Clubhouse,0.005,0.0,35,"4,041",9.999
432,Boki,0.1133,0.0,602,"3,686",7.777
433,Petabytes,0.0204,0.0,1,"1,212",2.022
434,Theirsverse Official,0.29,0.0,20,"1,372",5.500
435,Eyeverse.world,0.085,0.0,8,941,3.333
436,Dak Prescott: Legendary,-,0.0,0,95,103
437,Ape Harbour Yachts,0.015,0.0,1,"2,467",7.776
438,dcl://cybermike_cybersoldier_set,-,0.0,0,8,60
